Statistical profiling result from v8.log, (13997 ticks, 10660 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10660   76.2%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
     12    0.1%    0.1%  LazyCompile: *_processProps /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     12    0.1%    0.1%  KeyedLoadIC: string
     11    0.1%    0.1%  LazyCompile: ~mergeIntoWithNoDuplicateKeys /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    0.1%    0.1%  LazyCompile: ~_createOpenTagMarkupAndPutListeners /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    0.1%    0.1%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    0.1%    0.1%  LazyCompile: *mergedResult /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    0.1%    0.1%  LazyCompile: *get /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     11    0.1%    0.1%  LazyCompile: *React.createClass.getChildContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleComponent.js:18
     10    0.1%    0.1%  LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     10    0.1%    0.1%  LazyCompile: ~b native v8natives.js:1582
     10    0.1%    0.1%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/stores/ThreadStore.js:33
      9    0.1%    0.1%  LazyCompile: ~_createContentMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9    0.1%    0.1%  LazyCompile: ~InsertionSort native array.js:764
      9    0.1%    0.1%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/RouterMixin.js:43
      9    0.1%    0.1%  LazyCompile: *createReactRootID /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      8    0.1%    0.1%  LazyCompile: *wrapUserProvidedKey /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      8    0.1%    0.1%  LazyCompile: *processChildContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      8    0.1%    0.1%  LazyCompile: *o.(anonymous function) /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:738
      8    0.1%    0.1%  LazyCompile: *getMessageListItem /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:24
      8    0.1%    0.1%  LazyCompile: *floor native math.js:97
      8    0.1%    0.1%  LazyCompile: *createElement /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:44
      8    0.1%    0.1%  LazyCompile: *ceil native math.js:79
      7    0.1%    0.1%  Script: ~/Volumes/Projects/react-perf/react/react-with-addons-opt.js
      7    0.1%    0.1%  RegExp: [=.:]
      7    0.1%    0.1%  LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7    0.1%    0.1%  LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/ChatApp.jsx:38
      7    0.1%    0.1%  LazyCompile: *reinitializeTransaction /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7    0.1%    0.1%  LazyCompile: *getStateFromStores /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:39
      6    0.0%    0.0%  LazyCompile: ~Constructor /Volumes/Projects/react-perf/node_modules/react/lib/ReactClass.js:829
      6    0.0%    0.0%  LazyCompile: initializeAll /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      6    0.0%    0.0%  LazyCompile: *React.createClass._getHrefFromProps /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:45
      5    0.0%    0.0%  Stub: ElementsTransitionAndStoreStub
      5    0.0%    0.0%  LazyCompile: ~mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      5    0.0%    0.0%  LazyCompile: ~_processChildContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      5    0.0%    0.0%  LazyCompile: perform /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      5    0.0%    0.0%  LazyCompile: getCount /Volumes/Projects/react-perf/chat-optimized/stores/UnreadThreadStore.js:24
      5    0.0%    0.0%  LazyCompile: *slice native string.js:510
      5    0.0%    0.0%  LazyCompile: *getAllForThread /Volumes/Projects/react-perf/chat-optimized/stores/MessageStore.js:52
      5    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat-optimized/stores/ThreadStore.js:38
      4    0.0%    0.0%  LazyCompile: ~createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/profile-opt.js:13
      4    0.0%    0.0%  LazyCompile: *render /Volumes/Projects/react-perf/chat-optimized/components/MessageComposer.jsx:31
      4    0.0%    0.0%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      4    0.0%    0.0%  LazyCompile: *getAllForCurrentThread /Volumes/Projects/react-perf/chat-optimized/stores/MessageStore.js:63
      4    0.0%    0.0%  LazyCompile: *UseSparseVariant native array.js:111
      4    0.0%    0.0%  LazyCompile: *ReactPropTransferer.mergeProps /Volumes/Projects/react-perf/node_modules/react/lib/ReactPropTransferer.js:102
      3    0.0%    0.0%  LazyCompile: ~getCount /Volumes/Projects/react-perf/chat-optimized/stores/UnreadThreadStore.js:24
      3    0.0%    0.0%  LazyCompile: ~assertValidProps /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    0.0%    0.0%  LazyCompile: ~Constructor /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    0.0%    0.0%  LazyCompile: *getInitialState /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:41
      3    0.0%    0.0%  LazyCompile: *createReactRootIndex /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    0.0%    0.0%  LazyCompile: *addChecksumToMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      3    0.0%    0.0%  LazyCompile: *ReactErrorUtils.guard /Volumes/Projects/react-perf/node_modules/react/lib/ReactErrorUtils.js:25
      3    0.0%    0.0%  LazyCompile: *React.createClass.getInitialState /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:35
      3    0.0%    0.0%  KeyedLoadIC: textarea
      2    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat-optimized/components/ThreadListItem.jsx:30
      2    0.0%    0.0%  LazyCompile: ~getStateFromStores /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:45
      2    0.0%    0.0%  LazyCompile: ~getMessageListItem /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:24
      2    0.0%    0.0%  LazyCompile: ~getComponentKey /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: ~classNames /Volumes/Projects/react-perf/node_modules/classnames/index.js:1
      2    0.0%    0.0%  LazyCompile: ~addChecksumToMarkup /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: ~_processContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: ~ReactElement.createElement /Volumes/Projects/react-perf/node_modules/react/lib/ReactElement.js:149
      2    0.0%    0.0%  LazyCompile: ~LocalTimezone native date.js:51
      2    0.0%    0.0%  LazyCompile: *destructor /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: *ReactDOMTextComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      2    0.0%    0.0%  LazyCompile: *React.createClass.render /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleComponent.js:25
      2    0.0%    0.0%  LazyCompile: *$define.Symbol /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:610
      2    0.0%    0.0%  KeyedStoreIC: makePath
      2    0.0%    0.0%  KeyedLoadIC: args_count: 0 {1}
      2    0.0%    0.0%  CallNormal: args_count: 0 {4}
      1    0.0%    0.0%  Script: ~/Volumes/Projects/react-perf/node_modules/react/lib/ReactElementValidator.js
      1    0.0%    0.0%  LazyCompile: ~set /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat-optimized/components/ThreadSection.jsx:47
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:56
      1    0.0%    0.0%  LazyCompile: ~mountComponent /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~mergedResult /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
