Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:47
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat/components/MessageSection.jsx:56
      1    0.0%    0.0%  LazyCompile: ~render /Volumes/Projects/react-perf/chat/components/MessageComposer.jsx:31
      1    0.0%    0.0%  LazyCompile: ~mountChildren /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~module.exports /Volumes/Projects/react-perf/node_modules/babel/lib/babel/api/register/resolve-rc.js:19
      1    0.0%    0.0%  LazyCompile: ~mapObject /Volumes/Projects/node_modules/react/lib/mapObject.js:38
      1    0.0%    0.0%  LazyCompile: ~isInternalComponentType /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~isInTransaction /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~isCustomAttribute /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~getValue /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~getStateFromStores /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:39
      1    0.0%    0.0%  LazyCompile: ~getReactRootIDString /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~getInitialState /Volumes/Projects/react-perf/chat/components/ThreadSection.jsx:35
      1    0.0%    0.0%  LazyCompile: ~getComponentContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:148
      1    0.0%    0.0%  LazyCompile: ~get /Volumes/Projects/react-perf/node_modules/babel/lib/babel/transformation/file.js:274
      1    0.0%    0.0%  LazyCompile: ~enqueuePutListener /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~createReactRootIndex /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~createMarkupForProperty /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~cloneWithProps /Volumes/Projects/node_modules/react/lib/cloneWithProps.js:32
      1    0.0%    0.0%  LazyCompile: ~classNames /Volumes/Projects/react-perf/node_modules/classnames/index.js:1
      1    0.0%    0.0%  LazyCompile: ~bindAutoBindMethod /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~baseClone /Volumes/Projects/react-perf/node_modules/babel/node_modules/lodash/internal/baseClone.js:76
      1    0.0%    0.0%  LazyCompile: ~addChecksumToMarkup /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~RouterMixin.getChildContext /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/RouterMixin.js:41
      1    0.0%    0.0%  LazyCompile: ~ReactServerRenderingTransaction /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: ~LocalTimezone native date.js:51
      1    0.0%    0.0%  LazyCompile: ~FluxibleMixin.getStore /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleMixin.js:98
      1    0.0%    0.0%  LazyCompile: ~FluxibleMixin.getChildContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleMixin.js:57
      1    0.0%    0.0%  LazyCompile: ~$define.setImmediate /Volumes/Projects/react-perf/node_modules/babel/node_modules/core-js/shim.js:1214
      1    0.0%    0.0%  LazyCompile: readPackage module.js:99
      1    0.0%    0.0%  LazyCompile: *push /Volumes/Projects/react-perf/node_modules/babel/lib/babel/generation/position.js:13
      1    0.0%    0.0%  LazyCompile: *getValue /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: *getCurrentID /Volumes/Projects/react-perf/chat/stores/ThreadStore.js:48
      1    0.0%    0.0%  LazyCompile: *getComponentKey /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: *getComponent /Volumes/Projects/react-perf/node_modules/fluxible/lib/Fluxible.js:138
      1    0.0%    0.0%  LazyCompile: *ToUint32 native runtime.js:586
      1    0.0%    0.0%  LazyCompile: *ReactServerRenderingTransaction /Volumes/Projects/react-perf/react/react-with-addons.js:1
      1    0.0%    0.0%  LazyCompile: *IsPrimitive native runtime.js:618
      1    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Projects/react-perf/chat/stores/ThreadStore.js:38
      1    0.0%    0.0%  KeyedStoreMegamorphicIC: args_count: 0 {2}
